,Player,2023/24
368,Jordan McLaughlin,"$2,420,000"
369,Kobe Brown,"$2,413,356"
370,Luke Kornet,"$2,413,304"
371,John Konchar,"$2,400,000"
372,Quentin Grimes,"$2,385,720"
373,Nikola Jovic,"$2,352,000"
374,Sviatoslav Mykhailiuk,"$2,346,614"
375,Lonnie Walker,"$2,346,614"
376,Keita Bates-Diop,"$2,346,614"
377,Aaron Holiday,"$2,346,614"
378,Yuta Watanabe,"$2,346,614"
379,Thanasis Antetokounmpo,"$2,346,614"
380,Mo Bamba,"$2,346,614"
381,Drew Eubanks,"$2,346,614"
382,Patrick Baldwin,"$2,337,720"
383,Harry Giles,"$2,306,554"
384,Bones Hyland,"$2,306,400"
385,Peyton Watson,"$2,303,520"
386,Cam Thomas,"$2,240,160"
387,Vlatko Cancar,"$2,234,359"
388,Vince Williams Jr,"$2,232,308"
389,Jaden Springer,"$2,226,240"
390,Day'Ron Sharpe,"$2,210,040"
391,Jordan Goodwin,"$2,208,045"
392,Santiago Aldama,"$2,194,200"
393,Oshae Brissett,"$2,165,000"
394,Cam Reddish,"$2,165,000"
395,Jaxson Hayes,"$2,165,000"
396,Bol Bol,"$2,165,000"
397,Moses Brown,"$2,165,000"
398,Kevin Knox,"$2,144,320"
399,Andrew Nembhard,"$2,131,905"
400,Goga Bitadze,"$2,066,585"
401,Luka Samanic,"$2,066,585"
402,Matt Ryan,"$2,059,782"
403,Trendon Watford,"$2,019,706"
404,Terry Taylor,"$2,019,706"
405,Montrezl Harrell,"$2,019,706"
406,Dalano Banton,"$2,019,706"
407,Colby Jones,"$2,019,706"
408,Sandro Mamukelashvili,"$2,019,706"
409,Garrison Mathews,"$2,000,000"
410,Jaylin Williams,"$2,000,000"
411,Caleb Houstan,"$2,000,000"
412,Sam Merrill,"$1,997,238"
413,Isaiah Joe,"$1,997,238"
414,Anthony Gill,"$1,997,238"
415,GG Jackson,"$1,991,428"
416,Duop Reath,"$1,951,220"
417,Xavier Tillman,"$1,930,681"
418,Naji Marshall,"$1,930,681"
419,KJ Martin,"$1,930,681"
420,Sam Hauser,"$1,927,896"
421,Jericho Sims,"$1,927,896"
422,Kessler Edwards,"$1,927,896"
423,Haywood Highsmith,"$1,902,137"
424,AJ Green,"$1,901,769"
425,Ryan Rollins,"$1,893,589"
426,JT Thor,"$1,836,096"
427,BJ Boston,"$1,836,096"
428,Isaiah Todd,"$1,836,096"
429,Jose Alvarado,"$1,836,096"
430,Miles McBride,"$1,836,096"
431,Aaron Wiggins,"$1,836,096"
432,Isaiah Livers,"$1,836,096"
433,Jared Butler,"$1,809,782"
434,Orlando Robinson,"$1,801,769"
435,Dru Smith,"$1,801,769"
436,EJ Liddell,"$1,801,769"
437,Leonard Miller,"$1,800,000"
438,Bryce McGowens,"$1,719,864"
439,Jaden Hardy,"$1,719,864"
440,Max Christie,"$1,719,864"
441,Kennedy Chandler,"$1,719,864"
442,Josh Minott,"$1,719,864"
443,Jabari Walker,"$1,719,864"
444,Christian Koloko,"$1,719,864"
445,Xavier Cooks,"$1,719,864"
446,Jalen Pickett,"$1,708,143"
447,Julian Phillips,"$1,600,000"
448,Craig Porter,"$1,500,000"
449,Eugene Omoruyi,"$1,459,782"
450,Ricky Council,"$1,414,135"
451,DaQuan Jeffries,"$1,341,538"
452,Eric Bledsoe,"$1,300,000"
453,Skylar Mays,"$1,165,280"
454,Mouhamed Gueye,"$1,119,563"
455,Jordan Walsh,"$1,119,563"
456,Hunter Tyson,"$1,119,563"
457,Trayce Jackson-Davis,"$1,119,563"
458,Maxwell Lewis,"$1,119,563"
459,Andre Jackson Jr,"$1,119,563"
460,Chris Livingston,"$1,119,563"
461,Rayan Rupert,"$1,119,563"
